Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
192000,1.4202567,719.2,0.26133165,1.6864779949188233,1.6864779949188233,1.0
195000,1.4202569,488.0,0.3555766,2.1239013274510703,2.1239013274510703,1.0
198000,1.4202569,416.8333333333333,0.4095744,2.681680142879486,2.681680142879486,1.0
201000,1.4202567,514.1666666666666,0.3453492,2.901472528775533,2.901472528775533,1.0
204000,1.4202569,476.5,0.3813444,2.3713458776474,2.3713458776474,1.0
207000,1.4202569,592.4,0.41533297,2.905471181869507,2.905471181869507,1.0
210000,1.4205545,490.0,0.50235826,2.587316734450204,2.587316734450204,1.0
213000,1.4207023,578.8,0.46434775,2.380109691619873,2.380109691619873,1.0
216000,1.4207023,654.5,0.37169504,2.410188317298889,2.410188317298889,1.0
219000,1.4207022,512.1666666666666,0.56935436,2.45370884736379,2.45370884736379,1.0
222000,1.4207023,550.0,0.53073525,2.712964574495951,2.712964574495951,1.0
225000,1.4207022,460.0,0.50622106,2.8037036856015525,2.8037036856015525,1.0
228000,1.4207023,563.1666666666666,0.4796574,2.103305220603943,2.103305220603943,1.0
231000,1.4208704,547.6666666666666,0.4233773,2.2695558071136475,2.2695558071136475,1.0
234000,1.4210969,484.6,0.5830353,3.1739432641438077,3.1739432641438077,1.0
237000,1.4210969,397.42857142857144,0.4895585,2.80265326159341,2.80265326159341,1.0
240000,1.4210969,562.0,0.5166665,3.53091362118721,3.53091362118721,1.0
243000,1.4210969,374.7142857142857,0.5530934,2.4388585771833147,2.4388585771833147,1.0
246000,1.4210969,511.3333333333333,0.51788276,2.0416475236415863,2.0416475236415863,1.0
249000,1.4210969,513.5,0.45731345,3.1205344994862876,3.1205344994862876,1.0
252000,1.42129,593.5714285714286,0.48007542,1.545777291059494,1.545777291059494,1.0
255000,1.4217577,385.2,0.61702555,2.3785728216171265,2.3785728216171265,1.0
