Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,1.4189383,403.8888888888889,-0.006593728,1.2259141877293587,1.2259141877293587,1.0
6000,1.4189386,899.7777777777778,-0.014795814,1.1570960581302643,1.1570960581302643,1.0
9000,1.4189383,None,-0.0009861427,0.021669482191403706,0.021669482191403706,1.0
12000,1.4189385,999.0,0.011072782,0.5049436191717783,0.5049436191717783,1.0
15000,1.4189386,409.0,-0.04231875,1.1516091177860897,1.1516091177860897,1.0
18000,1.4189383,587.2,-0.03529925,0.5765941560268402,0.5765941560268402,1.0
21000,1.4188336,628.3,-0.045104805,0.30731438597043353,0.30731438597043353,1.0
24000,1.4183093,170.0,-0.009895321,0.7290667742490768,0.7290667742490768,1.0
27000,1.4183095,627.25,-0.028627401,0.6003715217113494,0.6003715217113494,1.0
30000,1.4183095,403.1111111111111,-0.004580731,1.3577068116929796,1.3577068116929796,1.0
33000,1.4183093,999.0,-0.005555051,1.0144041577974956,1.0144041577974956,1.0
36000,1.4183093,897.5,-0.025550434,0.7677112221717834,0.7677112221717834,1.0
39000,1.4183093,727.25,-0.019937817,1.737537294626236,1.737537294626236,1.0
42000,1.4182826,581.5555555555555,0.013117994,1.1655782063802083,1.1655782063802083,1.0
45000,1.4181426,538.5,0.06399926,0.47073110938072205,0.47073110938072205,1.0
48000,1.4181426,691.5,0.07257798,0.5789239555597305,0.5789239555597305,1.0
51000,1.4181426,709.5,0.052096087,0.7833154648542404,0.7833154648542404,1.0
54000,1.4181427,733.75,0.04681711,1.237842109054327,1.237842109054327,1.0
57000,1.4181427,643.4,0.060347755,2.011816519498825,2.011816519498825,1.0
60000,1.4181427,647.0,0.027242238,0.5792035818099975,0.5792035818099975,1.0
63000,1.4182159,594.1111111111111,0.024112526,1.1410953879356385,1.1410953879356385,1.0
66000,1.4183152,405.0,0.09159882,1.516759717464447,1.516759717464447,1.0
69000,1.4183152,674.6,0.052570194,1.5375211000442506,1.5375211000442506,1.0
72000,1.418315,862.3333333333334,0.060453583,0.7263569037119547,0.7263569037119547,1.0
75000,1.4183153,516.1666666666666,0.12315778,1.4466712304524012,1.4466712304524012,1.0
78000,1.418315,512.1666666666666,0.118620574,1.596922775109609,1.596922775109609,1.0
81000,1.4183152,993.6666666666666,0.04388326,1.1153628031412761,1.1153628031412761,1.0
84000,1.4184947,355.1,0.13987525,1.5379556193947792,1.5379556193947792,1.0
87000,1.419283,446.3333333333333,0.20617004,1.2930356860160828,1.2930356860160828,1.0
